symbol,model,mae,rmse,r2,n_obs
JKHY,rf,0.0011906025723712236,0.0019366293077910737,-0.026896485760633304,110
JNJ,rf,0.000688281579519216,0.0009489594943836126,0.037711044289629236,224
JPM,rf,0.0005691556495767113,0.0008389807232053281,0.03405222178164613,227
K,rf,0.0006981203126397917,0.0010967614110198342,0.07760645620274165,226
KDP,rf,0.0010316489373481067,0.0014871902265377384,0.04527783271114039,233
KEY,rf,0.0010655519416540216,0.0017125371861074269,0.04500763951272013,231
KEYS,rf,0.0009330442684383162,0.0013666783780889242,-0.026652010872388443,194
KHC,rf,0.0006258505684831016,0.0009925651975000215,0.04349033733838659,233
KIM,rf,0.0008599338977436275,0.0015139075835403338,0.04191500336382248,228
KKR,rf,0.0009368149018481625,0.0014592438741909976,-0.020423624597490475,221
KLAC,rf,0.001677220343060887,0.0025257930777019787,-0.07596810333243842,103
KMI,rf,0.0005713557162403471,0.0009429368327924185,0.062341663779299616,230
KMX,rf,0.0011381804681245367,0.0015981853989550856,0.049187611320372415,205
KO,rf,0.0005087677218141984,0.0007991589261342975,0.036713629470120024,232
KR,rf,0.0007360555161438489,0.0010465579848932397,0.06930884143926952,223
KVUE,rf,0.0008139749715222713,0.0012608310124069268,0.02320619280889835,232
L,rf,0.0008217172367423022,0.001242474870721529,-0.0004193208709142304,71
LDOS,rf,0.0007393102211272844,0.0011251256285700676,0.0611199121554159,160
LH,rf,0.0008134166022239829,0.001230376805516918,-0.008629840755792095,154
LHX,rf,0.0006374073250791951,0.0009834282934303839,0.0003425324555479392,177
LII,rf,0.0015056185892140393,0.0019327433900801093,0.0301876440357417,58
LKQ,rf,0.0008303586307495304,0.0011664161804004222,0.03785825898858852,133
LLY,rf,0.001161423828315395,0.0017184038938463596,0.004613618889061977,195
LMT,rf,0.0006612398873778559,0.0009769143115055435,-0.034512941056591195,159
LOW,rf,0.0007922509269534178,0.0011095862003576715,0.024614063967720368,218
LRCX,rf,0.0016048759447417516,0.0025252291707103416,-0.0628110905115884,91
LULU,rf,0.0011174294888410545,0.0016469611278030086,0.0025307710512365578,206
LUV,rf,0.0009247405387870304,0.0012889409742160977,0.014908512565236176,232
LVS,rf,0.0008095962181945085,0.0011343743318212311,0.04870962435964887,221
LW,rf,0.001136393303932167,0.0015528049414988883,0.04278209575719394,206
LYV,rf,0.0009386181161473217,0.0014187883121160334,0.03142547246157934,190
MA,rf,0.0007747639020249974,0.0012361625737411887,0.008349392228923724,212
MAA,rf,0.0010647683427400785,0.001971122951254117,0.0406953055980257,125
MAR,rf,0.0007028853197639126,0.001063414969561581,0.03622850985420878,159
MCD,rf,0.000529870687993869,0.0008186960761902265,-0.012098994698391818,215
MCHP,rf,0.0010576881009072012,0.001637178179794972,0.019349966918668415,217
MCK,rf,0.0010748966498905419,0.0014809103904177448,-0.0549823403434091,99
MCO,rf,0.0010670200642804567,0.0015363165338386864,0.07271747356369451,96
MDLZ,rf,0.0007298200968005963,0.000991918510141668,0.04296467591499964,233
MDT,rf,0.0007469736913616555,0.001324571832967027,0.0172290151641864,231
MET,rf,0.000630568287700373,0.0009293730374498196,0.06184171752663814,224
META,rf,0.0010482261619345846,0.00164843291698849,-0.1093097125658331,233
MGM,rf,0.0011402447631659455,0.0016906345526831108,0.013105216455403523,231
MHK,rf,0.0011709859466289474,0.0017273522401042637,0.01786023528571401,141
MKTX,rf,0.0018409399474358056,0.002763068949714467,0.018589556904125337,106
MLM,rf,0.0012878586868900917,0.0019701171196068396,-0.05296030383909711,97
MMC,rf,0.0006314599814095092,0.000994234916030135,0.03973212833950557,169
MMM,rf,0.0009489763688359542,0.0014466584609729254,0.043761106813730466,229
MNST,rf,0.0006993246742133372,0.0011968067181729715,0.04994006312956456,231
MO,rf,0.0006377872145104538,0.0009857047562338672,0.03261637809954143,233
MOH,rf,0.0015919295536577726,0.002629914449705801,-0.0924699993914806,73
MOS,rf,0.0014657208413056512,0.0021087107695928553,0.001805030594898338,231
MPC,rf,0.0008280509151092236,0.0011642028608845694,-0.011679105297267345,221
MPWR,rf,0.0028802086900166055,0.0038801062222619154,0.03987651533750125,57
MRK,rf,0.0009946780795568563,0.003140957747425562,0.0005542020153418425,233
MRNA,rf,0.002054651925551721,0.002934378755096147,-0.03141328430609658,227
MS,rf,0.0007862141425923117,0.0014131249860150335,0.03890414483310922,233
MSCI,rf,0.001317119512415243,0.0019969293652912,-0.005220160360115855,69
MSFT,rf,0.0005773331588626668,0.0008512911511428868,-0.14691206955766756,233
MSI,rf,0.000871434750598573,0.0014601016344130912,-0.0644468133611713,70
MTB,rf,0.0010058971414954726,0.0014410524220634453,0.05769994588935001,151
MTCH,rf,0.0012188623435216322,0.0018126883253164901,0.025881247976845878,229
MTD,rf,0.001399300830243857,0.001991537541805417,-0.034708552391062186,139
MU,rf,0.0014492994891095112,0.002155842382750051,-0.02852499495418037,233
NCLH,rf,0.002188494357095916,0.003003666340137189,-0.03275951448095915,231
NDAQ,rf,0.0008524437039053318,0.001266184041750115,0.015917803266696895,229
NDSN,rf,0.001186753187062244,0.0017420739849842396,-0.13202767354826972,54
NEE,rf,0.0010884261730668182,0.0016289289911724193,0.11529037006324849,233
NEM,rf,0.001205979715923236,0.00212544479953741,0.04346166837822385,233
NFLX,rf,0.001178421448013941,0.0018059623653430468,-0.06576198943558165,208
NI,rf,0.0007966843278791357,0.0011941780455665362,0.04737350102932436,228
NKE,rf,0.0008014397689840198,0.0010868093959659274,0.032748566854341576,233
