symbol,model,roc_auc,accuracy,precision,recall,f1,n_obs
FTV,logreg,0.4660019387896413,0.5176470588235295,0.5555555555555556,0.060240963855421686,0.10869565217391304,170
GD,logreg,0.4653333333333333,0.4818181818181818,0.4222222222222222,0.38,0.4,110
GDDY,logreg,0.4478021978021978,0.4444444444444444,0.4142857142857143,0.3717948717948718,0.3918918918918919,162
GE,logreg,0.5197465369879164,0.4978540772532189,0.5,0.1452991452991453,0.2251655629139073,233
GEHC,logreg,0.5353791291291291,0.45893719806763283,0.42857142857142855,0.02702702702702703,0.05084745762711865,207
GEN,logreg,0.5537710153094768,0.5576923076923077,0.4444444444444444,0.04395604395604396,0.08,208
GILD,logreg,0.5362575690444543,0.5150214592274678,0.3333333333333333,0.018018018018018018,0.03418803418803419,233
GIS,logreg,0.486498786407767,0.5497835497835498,0.4444444444444444,0.038834951456310676,0.07142857142857142,231
GL,logreg,0.5620689655172414,0.5294117647058824,0.4666666666666667,0.08045977011494253,0.13725490196078433,187
GLW,logreg,0.4752475247524753,0.5426008968609866,0.4,0.019801980198019802,0.03773584905660377,223
GM,logreg,0.46403508771929824,0.5085470085470085,0.46153846153846156,0.05263157894736842,0.09448818897637795,234
GNRC,logreg,0.44350205198358417,0.4327485380116959,0.4142857142857143,0.3411764705882353,0.3741935483870968,171
GOOG,logreg,0.4794300328827183,0.5,0.5625,0.07563025210084033,0.13333333333333333,234
GOOGL,logreg,0.4367000658231551,0.49572649572649574,0.3333333333333333,0.04424778761061947,0.078125,234
GPC,logreg,0.5137499999999999,0.5029239766081871,0.42857142857142855,0.4,0.41379310344827586,171
GRMN,logreg,0.6211853720050442,0.5952380952380952,0.6346153846153846,0.5076923076923077,0.5641025641025641,126
GWW,logreg,0.41208791208791207,0.48148148148148145,0.4782608695652174,0.8461538461538461,0.6111111111111112,27
HAL,logreg,0.5086999468125522,0.5130434782608696,0.3076923076923077,0.037383177570093455,0.06666666666666667,230
HAS,logreg,0.5272304324028462,0.5497076023391813,0.5573770491803278,0.40476190476190477,0.4689655172413793,171
HBAN,logreg,0.5334441841130678,0.5560344827586207,0.0,0.0,0.0,232
HCA,logreg,0.5240219629375429,0.5401069518716578,0.5393258426966292,0.5161290322580645,0.5274725274725275,187
HD,logreg,0.48451623702711755,0.4429223744292237,0.43478260869565216,0.1724137931034483,0.24691358024691357,219
HIG,logreg,0.49891891891891893,0.5165876777251185,0.48333333333333334,0.29,0.3625,211
HII,logreg,0.569718309859155,0.5114503816793893,0.47674418604651164,0.6833333333333333,0.5616438356164384,131
HLT,logreg,0.4667021276595744,0.44329896907216493,0.390625,0.26595744680851063,0.31645569620253167,194
HOLX,logreg,0.518716577540107,0.4251497005988024,0.5714285714285714,0.12121212121212122,0.2,167
HON,logreg,0.5363036303630363,0.4434389140271493,0.4117647058823529,0.058333333333333334,0.10218978102189781,221
HPE,logreg,0.5290370370370371,0.5150214592274678,0.0,0.0,0.0,233
HPQ,logreg,0.5530973451327433,0.5107296137339056,0.42857142857142855,0.02654867256637168,0.05,233
HRL,logreg,0.5273333333333333,0.48292682926829267,0.45454545454545453,0.047619047619047616,0.08620689655172414,205
HST,logreg,0.533840190816935,0.5493562231759657,0.3333333333333333,0.009615384615384616,0.018691588785046728,233
HUBB,logreg,0.6152777777777777,0.6063829787234043,0.6440677966101694,0.7037037037037037,0.672566371681416,94
HUM,logreg,0.5181202708084428,0.5344827586206896,0.5,0.1728395061728395,0.25688073394495414,174
HWM,logreg,0.48793103448275865,0.4823008849557522,0.42857142857142855,0.02586206896551724,0.04878048780487805,226
IBM,logreg,0.5480339385092601,0.5476190476190477,0.5555555555555556,0.10309278350515463,0.17391304347826086,210
ICE,logreg,0.5236347750109218,0.49065420560747663,0.35714285714285715,0.047619047619047616,0.08403361344537816,214
IDXX,logreg,0.5336000000000001,0.5,0.5,0.56,0.5283018867924528,100
IEX,logreg,0.5146198830409356,0.4864864864864865,0.5,0.47368421052631576,0.4864864864864865,74
INCY,logreg,0.5290598290598291,0.5628415300546448,0.48148148148148145,0.3333333333333333,0.3939393939393939,183
INTC,logreg,0.45190058479532164,0.49145299145299143,0.35294117647058826,0.05263157894736842,0.0916030534351145,234
INTU,logreg,0.5144566301096709,0.5275590551181102,0.5526315789473685,0.6176470588235294,0.5833333333333334,127
INVH,logreg,0.4977507872244714,0.5064935064935064,0.8,0.03418803418803419,0.06557377049180328,231
IP,logreg,0.4621178555604785,0.5021459227467812,0.42857142857142855,0.13513513513513514,0.2054794520547945,233
IPG,logreg,0.5037653586999604,0.5517241379310345,0.3333333333333333,0.04597701149425287,0.08080808080808081,203
IQV,logreg,0.509313725490196,0.4713375796178344,0.5138888888888888,0.43529411764705883,0.4713375796178344,157
IR,logreg,0.4593969663337033,0.5192307692307693,0.5625,0.08823529411764706,0.15254237288135594,208
IRM,logreg,0.4672268907563025,0.4492753623188406,0.41304347826086957,0.27941176470588236,0.3333333333333333,138
ISRG,logreg,0.490718954248366,0.4685714285714286,0.4794520547945205,0.3888888888888889,0.4294478527607362,175
IT,logreg,0.4318181818181818,0.42857142857142855,0.40350877192982454,0.696969696969697,0.5111111111111111,77
