symbol,rows,open,high,low,close,volume,vwap,trade_count,open_pct,high_pct,low_pct,close_pct,volume_pct,vwap_pct,trade_count_pct,bars_expected_total,coverage_pct,vwap_availability_pct
LRCX,13549,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6893060643060643,1.0
T,13569,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6903235653235653,1.0
UHS,13628,0,0,0,0,0,13628,13628,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.6933251933251934,0.0
WMT,13656,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6947496947496947,1.0
PFG,13665,0,0,0,0,0,13665,13665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.6952075702075702,0.0
MSFT,13697,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6968355718355719,1.0
DOV,13710,0,0,0,0,0,13710,13710,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.6974969474969475,0.0
NEE,13838,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.704008954008954,1.0
NKE,13840,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7041107041107041,1.0
PODD,13840,0,0,0,0,0,13840,13840,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7041107041107041,0.0
HAL,13856,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7049247049247049,1.0
LDOS,13861,0,0,0,0,0,13861,13861,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7051790801790802,0.0
GOOG,13862,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7052299552299552,1.0
F,13882,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7062474562474562,1.0
DGX,13883,0,0,0,0,0,13883,13883,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7062983312983313,0.0
CVS,13893,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7068070818070818,1.0
TKO,13926,0,0,0,0,0,13926,13926,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7084859584859585,0.0
CPT,13927,0,0,0,0,0,13927,13927,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7085368335368335,0.0
VMC,13939,0,0,0,0,0,13939,13939,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7091473341473341,0.0
CSX,13994,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7119454619454619,1.0
PWR,13996,0,0,0,0,0,13996,13996,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.712047212047212,0.0
ALGN,14007,0,0,0,0,0,14007,14007,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7126068376068376,0.0
META,14012,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7128612128612128,1.0
SNPS,14022,0,0,0,0,0,14022,14022,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7133699633699634,0.0
AOS,14034,0,0,0,0,0,14034,14034,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.713980463980464,0.0
LHX,14062,0,0,0,0,0,14062,14062,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7154049654049655,0.0
PYPL,14065,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7155575905575906,1.0
KVUE,14081,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7163715913715913,1.0
HPE,14089,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7167785917785918,1.0
CBOE,14092,0,0,0,0,0,14092,14092,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.716931216931217,0.0
GPC,14163,0,0,0,0,0,14163,14163,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7205433455433455,0.0
PTC,14170,0,0,0,0,0,14170,14170,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7208994708994709,0.0
DIS,14180,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7214082214082214,1.0
WBD,14245,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7247150997150997,1.0
NOW,14260,0,0,0,0,0,14260,14260,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7254782254782255,0.0
MTB,14329,0,0,0,0,0,14329,14329,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.728988603988604,0.0
VRTX,14372,0,0,0,0,0,14372,14372,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7311762311762312,0.0
GD,14389,0,0,0,0,0,14389,14389,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.732041107041107,0.0
NCLH,14398,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7324989824989825,1.0
SCHW,14404,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7328042328042328,1.0
COO,14429,0,0,0,0,0,14429,14429,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7340761090761091,0.0
ECL,14453,0,0,0,0,0,14453,14453,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7352971102971103,0.0
SBUX,14473,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7363146113146113,1.0
RMD,14484,0,0,0,0,0,14484,14484,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7368742368742369,0.0
MRK,14494,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7373829873829874,1.0
RVTY,14509,0,0,0,0,0,14509,14509,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7381461131461131,0.0
SPGI,14521,0,0,0,0,0,14521,14521,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7387566137566137,0.0
ROK,14524,0,0,0,0,0,14524,14524,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7389092389092389,0.0
PNW,14529,0,0,0,0,0,14529,14529,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7391636141636142,0.0
EMN,14540,0,0,0,0,0,14540,14540,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7397232397232397,0.0
TXT,14546,0,0,0,0,0,14546,14546,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.74002849002849,0.0
WBA,14569,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7411986161986162,1.0
PRU,14583,0,0,0,0,0,14583,14583,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7419108669108669,0.0
RSG,14593,0,0,0,0,0,14593,14593,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.7424196174196174,0.0
ELV,14598,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.7426739926739927,1.0
